centroid_x,centroid_y,centroid_z,dim_x,dim_y,dim_z,volume,ijk,xc,yc,zc,xinc,yinc,zinc,nx,ny,nz,xmorig,ymorig,zmorig,zone,product,cog,density,class,zona,ni_ok_fi,co_ok_fi,fe_ok_fi,mgo_ok_f,sio2_ok_,smratio,finsolprod090135_def,finsolprod090135_comb,finsolprod090135_val,basicity,econ_val_usd,sum_econ_val_usd
Variable descriptions:,,,,,,,Datamine field : ijk,Datamine field : xc,Datamine field : yc,Datamine field : zc,Datamine field : xinc,Datamine field : yinc,Datamine field : zinc,Datamine field : nx,Datamine field : ny,Datamine field : nz,Datamine field : xmorig,Datamine field : ymorig,Datamine field : zmorig,Datamine field : zone,Datamine field : product,Datamine field : cog,Datamine field : density,Datamine field : class,Datamine field : zone_int,Datamine field : ni_ok_fi,Datamine field : co_ok_fi,Datamine field : fe_ok_fi,Datamine field : mgo_ok_f,Datamine field : sio2_ok_,Datamine field : smratio,29-Oct-2025,29-Oct-2025,,,,sum_econ_val_usd
Variable types:,,,,,,,float,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,name,float,float,float,float,float,float,float,name,name,double,double,double,float
Variable defaults:,,,,,,,0.000,0.000,0.000,0.000,12.500,12.500,1.000,82.000,171.000,235.000,572490.000,9057790.000,15.000,default,default,default,-99.000,default,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,0,obws,0,-99.0,-99.0,0.0
572533.750000,9059396.250000,231.500000,12.500000,12.500000,1.000000,156.250000,150851.000000,572533.750000,9059396.000000,231.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,19.160000,measured,18.000000,6.223418,0.803670,297.543958,143.779479,169.463882,21.256191,waste,obws,29.000000,5.846549,-18.000000,-18.000000
572533.750000,9059408.750000,231.500000,12.500000,12.500000,1.000000,156.250000,151086.000000,572533.750000,9059409.000000,231.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,0.9<=[ni_ok]<1.0,17.160000,measured,15.000000,5.995609,0.802062,293.595464,110.212302,134.439229,20.008921,lgl,obws,24.000000,4.935855,-15.000000,-15.000000
572546.250000,9059346.250000,229.500000,12.500000,12.500000,1.000000,156.250000,190094.000000,572546.250000,9059346.000000,229.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,22.870000,measured,25.000000,5.377640,0.579926,282.333054,233.305811,267.874681,21.685862,waste,obws,41.000000,8.127155,-36.000000,-36.000000
572546.250000,9059358.750000,230.500000,12.500000,12.500000,1.000000,156.250000,190330.000000,572546.250000,9059359.000000,230.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,25.160000,measured,27.000000,5.886851,0.769610,317.500162,242.928170,274.621930,24.323897,waste,obws,42.000000,8.655678,-35.000000,-35.000000
572546.250000,9059371.250000,230.500000,12.500000,12.500000,1.000000,156.250000,190565.000000,572546.250000,9059371.000000,230.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,25.160000,measured,27.000000,6.775912,0.897525,318.547423,242.967208,273.200693,24.724864,waste,obws,43.000000,8.589007,-31.000000,-31.000000
572546.250000,9059383.750000,230.500000,12.500000,12.500000,1.000000,156.250000,190800.000000,572546.250000,9059384.000000,230.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,23.160000,measured,24.000000,6.532174,0.862341,313.507494,207.418622,236.746571,23.836576,waste,obws,37.000000,7.578982,-32.000000,-32.000000
572546.250000,9059396.250000,229.500000,12.500000,12.500000,1.000000,156.250000,191034.000000,572546.250000,9059396.000000,229.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,19.160000,measured,18.000000,6.231953,0.797003,302.242589,141.993487,165.594140,19.088341,waste,obws,29.000000,6.130229,-18.000000,-18.000000
572546.250000,9059408.750000,229.500000,12.500000,12.500000,1.000000,156.250000,191269.000000,572546.250000,9059409.000000,229.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,17.160000,measured,15.000000,5.666680,0.736236,292.702422,108.853078,128.732796,16.852542,ob,obws,23.000000,5.443837,-19.000000,-19.000000
572546.250000,9059421.250000,228.500000,12.500000,12.500000,1.000000,156.250000,191503.000000,572546.250000,9059421.000000,228.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,15.300000,measured,14.000000,5.087166,0.648244,240.735605,109.491203,128.512531,15.186379,ob,obws,21.000000,4.920113,-20.000000,-20.000000
572558.750000,9059296.250000,224.500000,12.500000,12.500000,1.000000,156.250000,229334.000000,572558.750000,9059296.000000,224.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,11.290000,measured,13.000000,3.514066,0.362714,128.169511,130.001827,150.416489,10.134970,waste,obws,24.000000,4.242931,-10.000000,-10.000000
